Close,Open,High,Low,EMA_12,EMA_26,MACD,MACD_Signal,Signal
7206.5599999999995,7195.24,7255.0,7175.15,7206.5599999999995,7206.5599999999995,0.0,0.0,Hold
7075.93,7198.045,7212.5,6924.74,7186.463076923076,7196.883703703703,-10.420626780626662,-2.0841253561253326,Sell
7146.6224999999995,7083.24,7405.0,6871.04,7180.333757396449,7193.160651577503,-12.82689418105383,-4.232679121111032,Sell
7343.83,7155.225,7404.0,7272.21,7205.487025489303,7204.321344053244,1.165681436059458,-3.1530070096769345,Buy
7381.485,7349.555,7495.0,7318.0,7232.563636952487,7217.444577827077,15.119059125409876,0.5014062173404277,Buy
7564.4349999999995,7356.469999999999,7795.34,7346.76,7283.620769729028,7243.147572062109,40.47319766691908,8.495764507256158,Buy
7958.8925,7557.82,8207.68,7723.71,7387.508728232255,7296.1657148723225,91.34301335993223,25.065214277791373,Buy
8131.724999999999,7952.09,8455.0,7870.0,7502.003539273446,7358.0589952521495,143.94454402129668,48.84108022649244,Buy
7919.610000000001,8100.95,8055.96,7750.0,7566.250687077531,7399.655365974213,166.59532110331838,72.39192840185763,Buy
7971.44,7936.24,8199.0,7672.0,7628.587504450219,7442.009783309457,186.57772114076215,95.22908694963854,Buy
8127.092500000001,8007.38,8286.34,8003.16,7705.280580688646,7492.75665121246,212.5239294761859,118.68805545494803,Buy
8090.4975,8109.435,8197.0,7960.0,7764.544722121162,7537.033751122648,227.51097099851359,140.45263856366114,Buy
8136.8,8102.495,8196.0,8055.89,7821.814764871752,7581.4608806691185,240.3538842026337,160.43288769145568,Buy
8476.4725,8147.655000000001,8880.0,8105.54,7922.531339506868,7647.758037656591,274.77330185027677,183.30097052321992,Buy
8779.1325,8460.175,8916.48,8564.0,8054.316133428888,7731.563553385732,322.75258004315583,211.1912924272071,Buy
8746.4575,8818.025,8859.81,8586.0,8160.799420593675,7806.740882764567,354.058537829108,239.7647415075873,Buy
8836.88,8770.01,9041.65,8672.44,8264.811817425418,7883.047484041265,381.76433338415245,268.16465988290037,Buy
8906.1225,8816.715,8988.88,8806.38,8363.474999359969,7958.8308185567275,404.6441808032414,295.4605640669686,Buy
8820.442500000001,8914.615,9198.98,8466.0,8433.777691766129,8022.653906071045,411.1237856950838,318.59320839259163,Buy
8653.085,8808.395,8746.99,8521.28,8467.517277648263,8069.3525056213375,398.1647720269257,334.5075211194585,Buy
8663.845,8672.035,8789.0,8488.0,8497.721542625453,8113.388986686423,384.3325559390305,344.47252808337294,Buy
8706.6,8689.19,8818.0,8590.0,8529.856689913844,8157.3305432281695,372.5261466856746,350.08325180383326,Buy
8521.372500000001,8709.2,8691.81,8306.39,8528.5514299271,8184.296614100157,344.25481582694283,348.9175646084552,Hold
8402.385,8543.645,8528.02,8238.0,8509.141209938316,8200.451309351996,308.6899005863197,340.8720318040281,Hold
8371.4325,8421.76,8451.26,8254.9,8487.95525456319,8213.11658273333,274.8386718298607,327.6653598091946,Hold
8466.7,8389.785,8618.13,8293.66,8484.685215399622,8231.900539567898,252.7846758317246,312.68922301370065,Hold
8764.24,8477.505000000001,9000.0,8535.0,8527.693643799681,8271.333092192497,256.3605516071839,301.42348873239735,Hold
9136.045,8760.98,9400.0,8862.4,8621.286160138192,8335.385826104164,285.90033403402776,298.31885779272346,Hold
9335.5275,9140.89,9449.24,9216.0,8731.169443193854,8409.470394540893,321.6990486529612,302.99489596477105,Buy
9399.305,9338.435000000001,9578.0,9204.44,8833.959528856338,8482.791476426752,351.16805242958617,312.6295272577341,Buy
9401.16,9407.39,9530.22,9210.01,8921.221139801517,8550.818774469215,370.402365332302,324.1840948726477,Buy
9370.4625,9432.205,9464.53,9281.0,8990.335195216669,8611.533124508533,378.80207070813594,335.1076900397453,Buy
9328.237500000001,9368.16,9477.03,9120.0,9042.320165183335,8664.6223375079,377.6978276754344,343.6257175668831,Buy
9369.155,9357.96,9618.79,9234.0,9092.602447462821,8716.809942136944,375.79250532587685,350.05907511868185,Buy
9232.845000000001,9311.915,9350.0,9093.01,9114.178224776233,8755.034761237912,359.14346353832116,351.87595280260973,Buy
9432.6825,9244.185000000001,9744.45,9177.22,9163.178882502965,8805.230890035104,357.9479924678617,353.0903607356601,Buy
9693.2375,9404.53,9862.57,9526.35,9244.726362117894,8871.00915743991,373.7172046779833,357.21572952412475,Buy
9800.182499999999,9692.015,9885.0,9730.0,9330.181152561294,8939.83681244436,390.3443401169334,363.84145164268654,Buy
9829.0075,9792.865,9940.0,9667.11,9406.923667551864,9005.701307818852,401.2223597330121,371.3176332607517,Buy
10023.385,9854.46,10166.0,9880.75,9501.763872543885,9081.085285017456,420.6785875264286,381.1898241138871,Buy
9986.8875,10023.395,10188.0,9756.0,9576.398276767903,9148.181745386533,428.21653138136935,390.59516556738356,Buy
10024.6025,10001.775,10323.59,9700.0,9645.352772649763,9213.101801283829,432.2509713659347,398.9263267270938,Buy
10305.655,10037.41,10450.0,10223.08,9746.937730703647,9294.031667855395,452.90606284825117,409.7222739513253,Buy
10283.74,10274.77,10500.0,10080.0,9829.522695210779,9367.343396162403,462.17929904837547,420.2136789707354,Buy
10266.2675,10277.48,10381.56,10111.37,9896.71420363989,9433.93036681704,462.7838368228495,428.7277105411582,Buy
10106.27,10286.07,10375.0,9801.0,9928.95355692606,9483.733302608369,445.2202543176918,432.02621929646494,Buy
9877.462500000001,10124.54,10050.0,9638.12,9921.031855860512,9512.898428341081,408.1334275194313,427.24766094105826,Hold
